iter	MAE
0	188790.8049
1	183960.4679
2	179291.467
3	175153.4927
4	171105.3035
5	167646.192
6	164073.2502
7	160956.9013
8	157566.0388
9	154525.8819
10	151827.2725
11	149274.0555
12	146479.1226
13	144103.4033
14	142006.8968
15	139708.5411
16	137672.9189
17	135310.5787
18	133457.4673
19	131647.6588
20	129737.7062
21	128008.2758
22	126405.3285
23	124639.7096
24	123259.2908
25	121849.257
26	120231.1223
27	119012.5095
28	117842.5326
29	116720.7513
30	115646.3776
31	114619.8931
32	113331.8273
33	112556.8641
34	111733.9875
35	110972.4911
36	110027.0122
37	108914.8233
38	107985.1396
39	107210.4648
40	106418.7072
41	105835.7535
42	105266.0145
43	104596.4622
44	103796.7052
45	102985.2999
46	102316.37
47	101711.8192
48	101328.8942
49	100614.1806
50	99893.37293
51	99277.41099
52	98531.35091
53	97959.36792
54	97425.43895
55	96864.09728
56	96322.47581
57	95954.39109
58	95608.82724
59	95306.14847
60	94936.04386
61	94603.18436
62	94136.48531
63	93800.25918
64	93451.51237
65	92956.81549
66	92674.96007
67	92321.72765
68	91831.20271
69	91481.2638
70	91249.17662
71	90871.02698
72	90704.97121
73	90261.52158
74	90032.95538
75	89790.65079
76	89594.31421
77	89408.02981
78	89065.15928
79	88851.73196
80	88680.17159
81	88334.97289
82	88017.97289
83	87703.81314
84	87446.15305
85	87276.6178
86	87088.8406
87	86890.34122
88	86701.62101
89	86485.45064
90	86282.70758
91	86143.3517
92	85975.1105
93	85846.80862
94	85682.84094
95	85531.55392
96	85446.05788
97	85205.96256
98	85108.34646
99	84975.20675
100	84775.57383
101	84631.28919
102	84492.33533
103	84418.64883
104	84267.87091
105	84088.26367
106	83944.4625
107	83811.73352
108	83654.88037
109	83523.14051
110	83419.58566
111	83218.20089
112	83148.42167
113	83022.56944
114	82888.93078
115	82720.39779
116	82651.00737
117	82467.20577
118	82367.78151
119	82195.24255
120	82128.53797
121	81991.34901
122	81893.74693
123	81728.06006
124	81663.81519
125	81583.76955
126	81491.41552
127	81371.53183
128	81227.84587
129	81166.00614
130	81100.31594
131	80996.84252
132	80910.401
133	80824.51424
134	80758.55081
135	80695.9566
136	80624.56924
137	80554.12802
138	80396.25456
139	80310.74178
140	80167.90142
141	80064.57419
142	79921.06703
143	79888.2564
144	79805.32956
145	79726.65925
146	79596.23002
147	79465.54255
148	79367.70314
149	79270.92942
150	79206.48118
151	79136.35431
152	79034.06732
153	78968.13569
154	78889.49168
155	78827.43849
156	78784.87938
157	78692.12398
158	78602.99146
159	78496.10214
160	78389.32564
161	78343.42671
162	78256.11981
163	78125.59578
164	78036.81156
165	77996.14063
166	77874.1146
167	77833.94856
168	77781.80434
169	77737.0325
170	77651.97818
171	77604.00728
172	77546.78215
173	77461.86862
174	77429.26612
175	77392.08235
176	77347.6857
177	77276.94879
178	77230.44055
179	77172.86799
180	77122.07447
181	77055.43079
182	77012.51346
183	76975.98134
184	76880.89387
185	76810.32842
186	76777.42
187	76748.02283
188	76704.08771
189	76658.971
190	76593.18096
191	76517.37898
192	76475.85407
193	76445.95306
194	76396.90867
195	76340.04597
196	76298.18088
197	76250.65707
198	76187.65755
199	76094.1828
200	76025.01496
201	75959.84166
202	75917.19399
203	75842.27421
204	75700.08228
205	75677.0925
206	75609.72599
207	75573.3165
208	75542.26293
209	75496.83502
210	75449.99459
211	75395.07784
212	75362.01301
213	75327.20172
214	75262.39632
215	75219.84797
216	75167.8845
217	75131.55411
218	75102.4378
